TOP.66388474.00077a2d	START
TOP.66388474.00077a2d	user_options->machine_readable	0
TOP.66388474.00077a2d	user_options->markov_classic	0
TOP.66388474.00077a2d	user_options->markov_disable	0
TOP.66388474.00077a2d	user_options->markov_inverse	0
TOP.66388474.00077a2d	user_options->markov_threshold	256
TOP.66388474.00077a2d	user_options->multiply_accel_disable	0
TOP.66388474.00077a2d	user_options->backend_info	0
TOP.66388474.00077a2d	user_options->backend_vector_width	0
TOP.66388474.00077a2d	user_options->optimized_kernel_enable	0
TOP.66388474.00077a2d	user_options->outfile_autohex	1
TOP.66388474.00077a2d	user_options->outfile_check_timer	5
TOP.66388474.00077a2d	user_options->outfile_format	2
TOP.66388474.00077a2d	user_options->wordlist_autohex_disable	0
TOP.66388474.00077a2d	user_options->potfile_disable	0
TOP.66388474.00077a2d	user_options->progress_only	0
TOP.66388474.00077a2d	user_options->quiet	0
TOP.66388474.00077a2d	user_options->remove	0
TOP.66388474.00077a2d	user_options->remove_timer	60
TOP.66388474.00077a2d	user_options->restore	0
TOP.66388474.00077a2d	user_options->restore_disable	0
TOP.66388474.00077a2d	user_options->restore_timer	1
TOP.66388474.00077a2d	user_options->rp_files_cnt	0
TOP.66388474.00077a2d	user_options->rp_gen	0
TOP.66388474.00077a2d	user_options->rp_gen_func_max	4
TOP.66388474.00077a2d	user_options->rp_gen_func_min	1
TOP.66388474.00077a2d	user_options->rp_gen_seed	0
TOP.66388474.00077a2d	user_options->runtime	0
TOP.66388474.00077a2d	user_options->scrypt_tmto	0
TOP.66388474.00077a2d	user_options->segment_size	33554432
TOP.66388474.00077a2d	user_options->self_test_disable	0
TOP.66388474.00077a2d	user_options->slow_candidates	0
TOP.66388474.00077a2d	user_options->show	0
TOP.66388474.00077a2d	user_options->speed_only	0
TOP.66388474.00077a2d	user_options->spin_damp	0
TOP.66388474.00077a2d	user_options->status	0
TOP.66388474.00077a2d	user_options->status_json	0
TOP.66388474.00077a2d	user_options->status_timer	10
TOP.66388474.00077a2d	user_options->stdout_flag	0
TOP.66388474.00077a2d	user_options->usage	0
TOP.66388474.00077a2d	user_options->username	0
TOP.66388474.00077a2d	user_options->veracrypt_pim_start	485
TOP.66388474.00077a2d	user_options->veracrypt_pim_stop	485
TOP.66388474.00077a2d	user_options->version	0
TOP.66388474.00077a2d	user_options->workload_profile	4
TOP.66388474.00077a2d	user_options->brain_client	0
TOP.66388474.00077a2d	user_options->brain_client_features	2
TOP.66388474.00077a2d	user_options->brain_server	0
TOP.66388474.00077a2d	user_options->brain_server_timer	300
TOP.66388474.00077a2d	user_options->brain_port	6863
TOP.66388474.00077a2d	user_options->brain_session	0
TOP.66388474.00077a2d	hashes->hashfile	hash.hc22000
TOP.66388474.00077a2d	hashes->hashlist_mode	5
TOP.66388474.00077a2d	hashes->hashlist_format	0
TOP.66388474.00077a2d	hashes->hashes_cnt	0
TOP.66388474.00077a2d	hashes->digests_cnt	1
TOP.66388474.00077a2d	hashes->digests_done_pot	0
TOP.66388474.00077a2d	hashes->digests_done_zero	0
TOP.66388474.00077a2d	hashes->digests_done	0
TOP.66388474.00077a2d	hashes->salts_cnt	1
TOP.66388474.00077a2d	hashes->salts_done	0
TOP.66388474.00077a2d	SUB.66388475.0005bd41	START
TOP.66388474.00077a2d	SUB.66388475.0005bd41	straight_ctx->dict	C:/Users/alexa/wordlists/rockyou.txt
TOP.66388474.00077a2d	SUB.66388475.0005bd41	runtime_start	1714979964
TOP.66388474.00077a2d	SUB.66388475.0005bd41	runtime_stop	1714979971
TOP.66388474.00077a2d	SUB.66388475.0005bd41	hashes->digests_done_new	0
TOP.66388474.00077a2d	SUB.66388475.0005bd41	status-after-work	5
TOP.66388474.00077a2d	SUB.66388475.0005bd41	STOP
TOP.66388474.00077a2d	proc_start	1714979956
TOP.66388474.00077a2d	proc_stop	1714979973
TOP.66388474.00077a2d	STOP
